ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9100ABDARE,,,,Aberdare Rail Station,,,,,,-,,,,,,,E0054662,Aberdare,,,,,,,1,UKOS,300400,202800,-3.44308344608,51.71505790608,RLY,,,,,,110,2006-09-08T14:30:00,2007-09-26T13:00:00,1,revise,active
9100ASHYDN,,,,Ashley Down,,,,,,-,,,,,,,E0035613,Horfield,Bristol,,,,,,1,UKOS,360047,175690,-2.5767,51.47875,RLY,,,,,,110,2025-04-25T11:18:00,2025-04-25T11:18:00,0,new,active
9100SWNACFC,,,,Corfe Castle,,,,,,-,,,,,,,E0045750,Corfe Castle,,,,,,,1,UKOS,396211,82066,-2.0551,50.6383,RLY,,,,,,110,2025-09-11T11:18:00,2025-09-11T11:18:00,0,new,active
9100BEULYPK,,,,Beaulieu Park,,,,,,-,,,,,,,E0046811,Beaulieu,,,,,,,1,UKOS,573904,209597,0.51833570,51.758057,RLY,,,,,,110,2025-08-01T09:19:00,2025-08-01T13:00:00,0,new,active
9100ELINTN,,,,East Linton,,,,,,-,,,,,,,ES001229,East Linton,,,,,,,1,UKOS,359051,677154,-2.6579,55.9856,RLY,,,,,,110,2025-04-25T15:13:00,2025-04-25T15:13:00,0,new,active
9100HBOLTN,,,,Headbolt Lane,,,,,,-,,,,,,,N0070223,Tower Hill,Kirkby,,,,,,1,UKOS,341341,399746,-2.885591,53.491136,RLY,,,,,,110,2025-04-25T15:51:00,2025-04-25T15:51:00,0,new,active
9100THANETP,,,,Thanet Parkway,,,,,,-,,,,,,,E0015407,Cliffs End,,,,,,,1,UKOS,634287,164449,1.361777,51.330843,RLY,,,,,,110,2025-04-25T16:01:00,2025-04-25T16:01:00,0,new,active
9100MSBTN,,,,Marsh Barton,,,,,,-,,,,,,,E0007704,Marsh Barton,Exeter,,,,,,1,UKOS,292667,090511,-3.52133,50.7043,RLY,,,,,,110,2025-04-25T16:01:00,2025-04-25T16:01:00,0,new,active
9100REDGGPK,,,,Reading Green Park,,,,,,-,,,,,,,N0071710,GreenPark,Reading,,,,,,1,UKOS,469525,170213,-1.001389,51.426667,RLY,,,,,,110,2025-04-25T16:37:00,2025-04-25T16:37:00,0,new,active
9100IVRNAIR,,,,Inverness Airport,,,,,,-,,,,,,,N0076589,Inverness Airport,,,,,,,1,UKOS,277050,851124,-4.0552,57.5335,RLY,,,,,,110,2025-04-25T18:15:00,2025-04-25T18:15:00,0,new,active
9100SOHAM,,,,Soham,,,,,,-,,,,,,,E0043681,Soham,,,,,,,1,UKOS,558696,273224,0.3277,52.33415,RLY,,,,,,110,2025-04-25T18:45:00,2025-04-25T18:45:00,0,new,active
9100BOWSTRT,,,,Bow Street,,,,,,-,,,,,,,E0036280,Bow Street,,,,,,,1,UKOS,262085,284378,-4.03036,52.439914,RLY,,,,,,110,2025-04-25T18:54:00,2025-04-25T18:54:00,0,new,active
9100HORD,,,,Horden,,,,,,-,,,,,,,E0010183,Horden,,,,,,,1,UKOS,444563,541225,-1.307347,54.763879,RLY,,,,,,110,2025-04-25T19:01:00,2025-04-25T19:01:00,0,new,active
9100MAGHNTH,,,,Maghull North,,,,,,-,,,,,,,E0029804,Moss Side,Maghull,,,,,,1,UKOS,339008,402620,-2.9213,53.5167,RLY,,,,,,110,2025-04-25T19:14:00,2025-04-25T19:14:00,0,new,active
9100RESTSTN,,,,Reston,,,,,,-,,,,,,,N0067219,Reston,,,,,,,1,UKOS,388036,661866,-2.19266,55.84985,RLY,,,,,,090,2025-08-21T19:14:00,2025-08-21T19:14:00,0,new,active
9100BRENTX,,,,Brent Cross West Station,,,,,,-,,,,,,,N0077635,Brent Cross,Golders Green,,,,,,0,UKOS,523085,186998,-0.22548819,51.568429,RLY,,,,,,110,2023-12-01T14:30:00,2023-12-01T13:00:00,0,new,active
9100ABDO,,,,Aberdour Rail Station,,,,,,-,,,,,,,ES000016,Aberdour,,,,,,,1,UKOS,319100,685400,-3.30056001734,56.05459191149,RLY,,,,,,110,2006-09-08T14:30:00,2007-09-26T13:00:00,1,revise,active
9100ABDVY,,,,Aberdovey Rail Station,,,,,,-,,,,,,,E0054262,Aberdovey,,,,,,,1,UKOS,260600,296000,-4.05706706793,52.54395659957,RLY,,,,,,110,2006-09-08T14:30:00,2007-09-26T13:00:00,1,revise,active
9100ABER,,,,Aber Rail Station,,,,,,-,,,,,,,E0035679,Aber,Caerphilly,,,,,,1,UKOS,314870,186950,-3.22982847743,51.5749655354,RLY,,,,,,110,2006-09-08T14:30:00,2007-09-26T13:00:00,1,revise,active
9100ABGLELE,,,,Abergele & Pensarn Rail Station,,,,,,-,,,,,,,E0054152,Abergele,,,,,,,1,UKOS,294612,378681,-3.58262198838,53.29457303057,RLY,,,,,,110,2006-09-08T14:30:00,2007-09-26T13:00:00,1,revise,active
9100ABRCYNN,,,,Abercynon North Rail Station,,,,,,-,,,,,,,E0054661,Abercynon,,,,,,,1,UKOS,308292,194891,-3.32680325647,51.64531320611,RLY,,,,,,110,2006-09-08T14:30:00,2008-05-30T14:08:00,3,revise,inactive
9100ABRCYNS,,,,Abercynon Rail Station,,,,,,-,,,,,,,E0054661,Abercynon,,,,,,,1,UKOS,308166,194686,-3.32856986148,51.643449909,RLY,,,,,,110,2006-09-08T14:30:00,2013-12-17T14:04:00,3,revise,active
9100ABRDEEN,,,,Aberdeen Rail Station,,,,,,-,,,,,,,ES000011,Aberdeen,,,,,,,1,UKOS,394127,805872,-2.0986851221,57.14370402316,RLY,,,,,,110,2006-09-08T14:30:00,2009-04-14T11:28:00,2,revise,active
9100ABRE,,,,Abererch Rail Station,,,,,,-,,,,,,,E0037427,Abererch,,,,,,,1,UKOS,240400,336100,-4.37417543673,52.89858306624,RLY,,,,,,110,2006-09-08T14:30:00,2007-09-26T13:00:00,1,revise,active
9100ABRGVNY,,,,Abergavenny Rail Station,,,,,,-,,,,,,,E0054376,Abergavenny,,,,,,,1,UKOS,330500,213600,-3.0096467989,51.81668982233,RLY,,,,,,110,2006-09-08T14:30:00,2007-09-26T13:00:00,1,revise,active
9100ABRYSTH,,,,Aberystwyth Rail Station,,,,,,-,,,,,,,E0054103,Aberystwyth,,,,,,,1,UKOS,258500,281600,-4.08189352291,52.41404494843,RLY,,,,,,110,2006-09-08T14:30:00,2007-09-26T13:00:00,1,revise,active
